UB 457 x 191 x 161,161.4,492.0,199.4,18.0,32.0,79800,4250,3240,426,206
UB 533 x 210 x 138,138.3,549.1,213.9,14.7,23.6,86100,3860,3140,361,176
UB 610 x 229 x 113,113.0,607.6,228.2,11.1,17.3,87300,3430,2870,301,144
UB 610 x 229 x 125,125.1,612.2,229.0,11.9,19.6,98600,3930,3220,343,159
UB 533 x 312 x 151,150.6,542.5,312.0,12.7,20.3,101000,10300,3710,659,192
UB 610 x 229 x 140,139.9,617.2,230.2,13.1,22.1,112000,4510,3620,391,178
UB 686 x 254 x 125,125.2,677.9,253.0,11.7,16.2,118000,4380,3480,346,159
UB 533 x 312 x 182,181.5,550.7,314.5,15.2,24.4,123000,12700,4480,806,231
UB 610 x 305 x 149,149.2,612.4,304.8,11.8,19.7,126000,9310,4110,611,190
UB 686 x 254 x 140,140.1,683.5,253.7,12.4,19.0,136000,5180,3990,409,178
UB 686 x 254 x 152,152.4,687.5,254.5,13.2,21.0,150000,5780,4370,455,194
UB 762 x 267 x 134,133.9,750.0,264.4,12.0,15.5,151000,4790,4020,362,171
UB 533 x 312 x 219,218.8,560.3,317.4,18.3,29.2,151000,15600,5400,982,279
UB 610 x 305 x 179,179.0,620.2,307.1,14.1,23.6,153000,11400,4930,743,228
UB 762 x 267 x 147,146.9,754.0,265.2,12.8,17.5,169000,5460,4470,411,187
UB 686 x 254 x 170,170.2,692.9,255.8,14.5,23.7,170000,6630,4920,518,217
UB 533 x 312 x 273,273.3,577.1,320.2,21.1,37.6,199000,20600,6890,1290,348
UB 762 x 267 x 173,173.0,762.2,266.7,14.3,21.6,205000,6850,5390,514,220
UB 610 x 305 x 238,238.1,635.8,311.4,18.4,31.4,209000,15800,6590,1020,303
UB 762 x 267 x 197,196.8,769.8,268.0,15.6,25.4,240000,8170,6230,610,251
UB 838 x 292 x 176,175.9,834.9,291.7,14.0,18.8,246000,7800,5890,535,224
UB 838 x 292 x 194,193.8,840.7,292.4,14.7,21.7,279000,9070,6640,620,247
UB 914 x 305 x 201,200.9,903.0,303.3,15.1,20.2,325000,9420,7200,621,256
UB 838 x 292 x 226,226.5,850.9,293.8,16.1,26.8,340000,11400,7980,773,289
UB 914 x 305 x 224,224.2,910.4,304.1,15.9,23.9,376000,11200,8270,739,286
UB 914 x 305 x 238,238.0,915.0,305.0,16.5,25.9,406000,12300,8880,806,304
UB 1016 x 305 x 222,222.0,970.3,300.0,16.0,21.1,408000,9550,8410,636,283
UB 914 x 305 x 253,253.4,918.4,305.5,17.3,27.9,436000,13300,9500,871,323
UB 914 x 305 x 271,271.0,923.0,307.0,18.4,30.0,472000,14500,10200,946,346
UB 1016 x 305 x 249,248.7,980.1,300.0,16.5,26.0,481000,11800,9820,784,317
UB 914 x 305 x 289,289.1,926.6,307.7,19.5,32.0,504000,15600,10900,1010,368
UB 914 x 305 x 313,313.0,932.0,309.0,21.1,34.5,548000,17000,11800,1100,398
UB 1016 x 305 x 272,272.3,990.1,300.0,16.5,31.0,554000,14000,11200,934,347
UB 914 x 419 x 343,343.3,911.8,418.5,19.4,32.0,626000,39200,13700,1870,437
UB 914 x 305 x 345,345.0,943.0,308.0,22.1,39.9,626000,19500,13300,1270,440
UB 1016 x 305 x 314,314.3,999.9,300.0,19.1,35.9,644000,16200,12900,1080,400
UB 914 x 305 x 381,381.0,951.0,310.0,24.4,43.9,697000,21900,14600,1410,486
UB 914 x 419 x 388,388.0,921.0,420.5,21.4,36.6,720000,45400,15600,2160,494
UB 1016 x 305 x 350,350.0,1008.0,302.0,21.1,40.0,723000,18500,14300,1220,445
UB 914 x 305 x 425,425.0,961.0,313.0,26.9,49.0,788000,25200,16400,1610,542
UB 1016 x 305 x 393,392.7,1015.9,303.0,24.4,43.9,808000,20500,15900,1350,500
